,T,k,rho
0,250.0,0.014810074201552118,40.0
1,258.62068965517244,0.015267217598508997,
2,267.2413793103448,0.01572734664840218,
3,275.86206896551727,0.01616017397805906,
4,284.48275862068965,0.016594576269585524,
5,293.1034482758621,0.017011447285581797,
6,301.7241379310345,0.017440788416147882,
7,310.3448275862069,0.01787717463842889,
8,318.9655172413793,0.018279476979711974,
9,327.58620689655174,0.01869534593222562,
10,336.2068965517241,0.01910053931929707,
11,344.82758620689657,0.01950044868708144,
12,353.44827586206895,0.019904076583695647,
13,362.0689655172414,0.020302945396884903,
14,370.68965517241384,0.02067552857612785,
15,379.3103448275862,0.021063972383608194,
16,387.9310344827586,0.021448247571912955,
17,396.55172413793105,,
18,405.1724137931035,0.022202644116151294,
19,413.7931034482759,0.022581500640742134,
20,422.41379310344826,0.022928900573755087,
21,431.0344827586207,0.023293093139087947,
22,439.65517241379314,0.02365413833429837,
23,448.2758620689655,0.02401185629631027,
24,456.89655172413796,,
25,465.51724137931035,,
26,474.1379310344828,0.025067859161801168,
27,482.75862068965523,0.025422748205137503,
28,491.3793103448276,0.0257420181750217,
29,500.0,0.02607630746402306,
